PID,付费等级,时间,客服,满意度,风险,红线,红线详情,准确性,上下文,完整性,态度,总分,问题类型
115763423,P2,2026-03-03 17:14:57,bingocs_bv,,低,否,,4,4,4,4,16,bug
869368110,P0,2026-02-26 03:21:41,bingocs_bv,,低,否,,4,4,4,4,16,其他
333402335,Other,2026-03-01 06:05:57,bingocs_bv,,低,否,,4,4,4,4,16,其他
478557495,P1,2026-02-27 08:55:35,bingocs_bv,5,低,否,,4,4,4,4,16,bug
833899314,P0,2026-02-25 16:11:28,bingocs_bv,,低,否,,4,4,4,4,16,bug
538125709,P1,2026-02-28 03:08:09,bingocs_bv,5,高,否,,4,4,2,4,14,其他
907564708,P2,2026-03-02 13:38:11,bingocs_bv,5,低,否,,4,4,4,4,16,付费
765050318,P1,2026-02-27 22:18:37,bingocs_bv,,低,否,,4,4,4,4,16,付费
892682805,P0,2026-02-28 12:40:49,bingocs_bv,,低,否,,4,4,4,4,16,bug
127297360,P0,2026-02-23 11:28:19,support2,,低,否,,4,4,4,4,16,bug
778572627,P1,2026-02-25 19:17:23,bingocs_bv,,低,否,,4,4,4,4,16,付费
649989988,P1,2026-02-25 03:25:10,bingocs_bv,,低,否,,4,4,4,4,16,bug
